Grupos etarios Uso Internet,Años__ESTANDAR,value,grupo_etario_ord,País__ESTANDAR_Argentina,País__ESTANDAR_Bolivia (Estado Plurinacional de),País__ESTANDAR_Brasil,País__ESTANDAR_Chile,País__ESTANDAR_Colombia,País__ESTANDAR_Costa Rica,País__ESTANDAR_Ecuador,País__ESTANDAR_El Salvador,País__ESTANDAR_Honduras,País__ESTANDAR_México,País__ESTANDAR_Panamá,País__ESTANDAR_Paraguay,País__ESTANDAR_Perú,País__ESTANDAR_Uruguay
edad de medicion a 17 años,2016,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edad de medicion a 17 años,2017,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edad de medicion a 17 años,2018,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edad de medicion a 17 años,2019,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edad de medicion a 17 años,2020,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edad de medicion a 17 años,2021,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
edad de medicion a 17 años,2022,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18 a 25 años de edad,2016,86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18 a 25 años de edad,2017,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18 a 25 años de edad,2018,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18 a 25 años de edad,2019,92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18 a 25 años de edad,2020,95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18 a 25 años de edad,2021,95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18 a 25 años de edad,2022,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26 a 50 años de edad,2016,82,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26 a 50 años de edad,2017,86,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26 a 50 años de edad,2018,88,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26 a 50 años de edad,2019,90,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26 a 50 años de edad,2020,92,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26 a 50 años de edad,2021,94,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26 a 50 años de edad,2022,95,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51 a 65 años,2016,61,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51 a 65 años,2017,68,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51 a 65 años,2018,74,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51 a 65 años,2019,77,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51 a 65 años,2020,81,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51 a 65 años,2021,87,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51 a 65 años,2022,88,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66 años en adelante,2016,29,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66 años en adelante,2017,34,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66 años en adelante,2018,40,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66 años en adelante,2019,46,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66 años en adelante,2020,55,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
